TF	CAI_R_value	CAI_CI_lower	CAI_CI_upper	Nc_R_value	Nc_CI_lower	Nc_CI_upper
HHO5	0.16732118764190454	0.02116840874175777	0.3064722172955598	-0.17257939569726238	-0.31137008589503135	-0.02657992212761584
PHYPADRAFT_182268	0.1528603105549975	0.006329949499489678	0.29296422498386965	-0.15420235072910665	-0.2942201915914436	-0.007704320090404307
ARF36	-0.15462037764165265	-0.29461130902700045	-0.008132530558777112	0.19409678121576165	0.04881417235455355	0.33133637356438117
NAC038	0.18006155846670696	0.034295010171272004	0.31832681556888315	-0.1717063040789527	-0.31055733654370576	-0.02568078229174436
PK06182.1	0.15424840421917563	0.007751492856406432	0.2942632827977086	-0.1958757856241679	-0.33298165399905805	-0.050658912424758014
ERF15	0.2470256773792769	0.10412607361954054	0.37993231902894503	-0.15277265099162265	-0.29288217075947487	-0.006240197429826837
ERF011	0.1903276786221419	0.04490907013796903	0.3278478268511068	-0.18271449262531192	-0.32078987701755324	-0.03703471057237126
IDD4	0.19660274003363193	0.05141301368714489	0.33365372460833587	-0.1567618356591087	-0.2966141805761024	-0.010326999525600714
DOF1.7	-0.15963847941731846	-0.29930272469847363	-0.013277075155248796	0.16734647486873097	0.021194412751581043	0.3064957892607925
MYB3	0.15065931595316753	0.004077129643063892	0.2909033468759822	-0.15374612484163477	-0.2937932806198131	-0.007237041390589015
DOF3.2	-0.17825779840418232	-0.3166510853267755	-0.03243350707795899	0.15254766590919908	0.0060098525723985595	0.2926715627692752
ERF012	0.17593591548646179	0.030038783073046242	0.3144927358331856	-0.16008055252981934	-0.29971569477934035	-0.01373065901939997
estExt_gwp_gw1.C_550163	0.1528603105549975	0.006329949499489678	0.29296422498386965	-0.15420235072910665	-0.2942201915914436	-0.007704320090404307
